timestamp,Please enter your uNID
12/15/21 17:32,u1107937
12/15/21 17:32,u1107937
12/15/21 19:45,u1011894
12/15/21 19:45,u1011894
12/16/21 7:46,u1352233
12/16/21 7:59,u1169279
12/16/21 8:02,u1095212
12/16/21 8:04,u1109053
12/16/21 8:07,u0879848
12/16/21 8:14,u1349666
12/16/21 8:20,u0657601
12/16/21 8:00,u1101082
12/16/21 8:57,u1112618
12/16/21 8:59,u1386221
12/16/21 8:59,u1377998
12/16/21 9:01,u1163383
12/16/21 9:04,u0960178
12/16/21 9:05,u0822319
12/16/21 9:07,u1201293
12/16/21 9:17,u1325280
12/16/21 9:24,u1262494
12/16/21 9:32,u1089090
12/16/21 9:35,u0972427
12/16/21 9:47,u0980420
12/16/21 9:54,u1310578
12/16/21 9:55,u1328428
12/16/21 9:57,u1304655
12/16/21 10:01,u1208284
12/16/21 10:47,u0694788
12/16/21 11:00,u1225638
12/16/21 11:00,u1101082
12/16/21 11:00,MISSING
12/16/21 12:00,u1109053
12/16/21 12:00,u0879848
12/16/21 12:00,u1157521
12/16/21 12:00,u1095212
12/16/21 12:55,u1089090
12/16/21 13:01,u1386221
12/16/21 13:05,u0657601
12/16/21 13:11,u1321262
12/16/21 13:11,u1352233
12/16/21 13:23,u1304655
12/16/21 13:29,u0822319
12/16/21 13:34,u0657601
12/16/21 13:44,u0980420
12/16/21 13:50,u1224112
12/16/21 13:52,u1262494
12/16/21 14:00,u1386221
12/16/21 14:00,u1169279
12/16/21 14:01,u1163383
12/16/21 14:01,u0989405
12/16/21 14:02,u1310578
12/16/21 14:04,u1112618
12/16/21 14:13,u0960178
12/16/21 14:59,u1330199
12/16/21 15:00,u1349666
12/16/21 15:09,u0657601
12/16/21 15:56,u1106210
12/16/21 16:00,u1201293
12/16/21 16:00,u1225638
12/16/21 16:22,u0972427
12/16/21 17:00,u1208284
12/16/21 17:02,u1157521
12/16/21 17:05,u0694788
12/16/21 17:29,u1311515
12/16/21 17:34,u1377998
12/16/21 17:48,u1377551
12/16/21 17:59,u1321262
12/16/21 18:00,u1386221
12/16/21 20:17,u0989405
12/16/21 21:11,u1330199
12/16/21 22:00,u1311515
12/17/21 0:06,u1235095
12/17/21 7:55,u1377998
12/17/21 7:58,u1349666
12/17/21 8:00,u1101082
12/17/21 8:04,u1095212
12/17/21 8:13,u1107937
12/17/21 8:00,u1212744
12/17/21 8:30,u1325280
12/17/21 8:31,u1208522
12/17/21 8:34,u1167325
12/17/21 8:55,u1112618
12/17/21 8:59,u1169279
12/17/21 8:59,u1386221
12/17/21 9:00,u0657601
12/17/21 9:01,u1157521
12/17/21 9:01,u1106210
12/17/21 9:03,u0960178
12/17/21 9:04,u1224112
12/17/21 9:05,u1149181
12/17/21 9:07,u1201293
12/17/21 9:08,u1328428
12/17/21 9:14,u0822319
12/17/21 9:14,u0628352
12/17/21 9:18,u1046317
12/17/21 9:18,u0980420
12/17/21 9:19,u0972427
12/17/21 9:24,u1109053
12/17/21 9:32,u1349666
12/17/21 10:02,u1011894
12/17/21 10:03,u0694788
12/17/21 10:08,u1252970
12/17/21 10:52,u1377551
12/17/21 10:55,u1163383
12/17/21 11:04,u1101082
12/17/21 11:23,u0628352
12/17/21 11:31,u0960178
12/17/21 12:00,u1014558
12/17/21 12:16,u0657601
12/17/21 12:30,u1325280
12/17/21 12:33,u1310578
12/17/21 12:34,u0955294
12/17/21 13:01,u1321262
12/17/21 13:04,u1201293
12/17/21 13:06,u1212744
12/17/21 13:26,u1386221
12/17/21 13:30,u0657601
12/17/21 13:34,u1224112
12/17/21 13:54,u1107937
12/17/21 14:00,u1109053
12/17/21 14:01,u1386221
12/17/21 14:02,u1106210
12/17/21 14:03,u1095212
12/17/21 14:11,u1112618
12/17/21 14:34,u1033387
12/17/21 14:56,u0980420
12/17/21 15:00,u1169279
12/17/21 15:01,u0911145
